162.159.44.138:443#Unknown  55.97ms
172.64.229.42:443#Unknown  57.77ms
172.64.52.29:443#Unknown  61.11ms
162.159.45.91:443#Unknown  61.53ms
162.159.38.0:443#Unknown  61.67ms
108.162.198.10:443#Unknown  62.51ms
172.64.53.26:443#Unknown  63.39ms
162.159.39.166:443#Unknown  64.80ms
172.64.159.77:443#Unknown  88.18ms
172.64.49.11:443#Unknown  88.47ms
172.64.153.25:443#Unknown  88.65ms
172.64.40.195:443#Unknown  88.88ms
172.64.41.178:443#Unknown  88.91ms
172.64.144.172:443#Unknown  88.92ms
172.64.38.189:443#Unknown  88.95ms
172.64.32.216:443#Unknown  89.02ms
172.64.50.75:443#Unknown  89.10ms
172.64.42.199:443#Unknown  89.24ms
172.64.154.222:443#Unknown  89.24ms
172.64.46.97:443#Unknown  89.25ms
